##
音乐欣赏,#genre#
古琴-墨缘,https://vd4.bdstatic.com/mda-qa0bekwtfnih4jzc/576p/h264/1704096376165759006/mda-qa0bekwtfnih4jzc.mp4
古筝-五百年沧海桑田,https://vd4.bdstatic.com/mda-pacd6mft1e531akn/576p/h264/1673601765203549702/mda-pacd6mft1e531akn.mp4
古筝-牧羊曲,https://vd3.bdstatic.com/mda-qatjq2fgah2z8g4q/576p/h264/1706450237673638867/mda-qatjq2fgah2z8g4q.mp4
古筝-高山流水,https://vd3.bdstatic.com/mda-nfbg9krmtusbn2i8/720p/h264/1655033563576955992/mda-nfbg9krmtusbn2i8.mp4
古筝-梦里水乡,https://vd2.bdstatic.com/mda-mhu94n2gywrw5vhf/480p/h264/1630218543192826009/mda-mhu94n2gywrw5vhf.mp4
古筝-小河淌水,https://vd2.bdstatic.com/mda-mj7czgwi28b1m387/360p/h264/1633684286889610027/mda-mj7czgwi28b1m387.mp4
古筝-梁祝,https://vd3.bdstatic.com/mda-nb6fbkym9e1ciqbc/360p/h264_delogo/1644231136791439599/mda-nb6fbkym9e1ciqbc.mp4
古筝-出水莲,https://vd3.bdstatic.com/mda-mhn8u3uc1ctu5vap/360p/h264/1629699341739344851/mda-mhn8u3uc1ctu5vap.mp4
古琴名曲,https://vd2.bdstatic.com/mda-qkegdq0pr7f1bh4i/360p/h264/1731670853172715573/mda-qkegdq0pr7f1bh4i.mp4
琵琶曲-烟雨江南,https://vd3.bdstatic.com/mda-mkkeiynqhvq4w95x/360p/h264/1637490002526978202/mda-mkkeiynqhvq4w95x.mp4
葫芦丝-婚誓,https://vd3.bdstatic.com/mda-mi626f6cj2egvt9b/360p/h264/1630978446653533246/mda-mi626f6cj2egvt9b.mp4
葫芦丝-月光下的凤尾竹,https://vd3.bdstatic.com/mda-mjd484wbe1g9zmsv/360p/h264/1634180513176166381/mda-mjd484wbe1g9zmsv.mp4
二胡-二泉映月,https://vd3.bdstatic.com/mda-mj1i2x4v8c56hrtu/360p/h264/1633179048622057158/mda-mj1i2x4v8c56hrtu.mp4
二胡名曲-听松,https://vd3.bdstatic.com/mda-pmp2ibvu32753rk0/360p/h264/1703382472249633862/mda-pmp2ibvu32753rk0.mp4
吉他-墨尔本的秋天,https://vd3.bdstatic.com/mda-pia8h0vxvpy4iv6a/360p/h264/1694412129095254673/mda-pia8h0vxvpy4iv6a.mp4
天国的女儿,https://vd3.bdstatic.com/mda-pk2d37dgd0cg17zn/360p/h264/1699003182992037864/mda-pk2d37dgd0cg17zn.mp4
女儿情,https://vd3.bdstatic.com/mda-mieb28e9a740jp66/360p/h264/1631692285445890781/mda-mieb28e9a740jp66.mp4
今夜无眠,https://vd3.bdstatic.com/mda-naghx964uw0fx30s/360p/h264_delogo/1642423408825981689/mda-naghx964uw0fx30s.mp4
萨克斯金曲合集1,https://vd3.bdstatic.com/mda-pgn6a3v5jm9gsvnr/720p/h264/1690119325851179983/mda-pgn6a3v5jm9gsvnr.mp4
萨克斯金曲合集2,https://vd3.bdstatic.com/mda-pej3gqafaw1gc4cu/720p/h264/1684549784086866345/mda-pej3gqafaw1gc4cu.mp4
萨克斯金曲合集3,https://vd3.bdstatic.com/mda-peaha5qgcf2pt0nd/sc/cae_h264/1683885576890619981/mda-peaha5qgcf2pt0nd.mp4
萨克斯金曲30合集,https://vd3.bdstatic.com/mda-naa89fbux4mfrqye/sc/cae_h264_delogo/1641908788981957069/mda-naa89fbux4mfrqye.mp4
萨克斯音乐回家,https://vd3.bdstatic.com/mda-qdgx6z6t8gnvp979/hd/cae_h264_mcsic/1713393738174865204/mda-qdgx6z6t8gnvp979.mp4

歌曲欣赏,#genre#
我养的人和养我的人,https://vd4.bdstatic.com/mda-pen3v0dk7f50m0wz/360p/h264/1684809954063466249/mda-pen3v0dk7f50m0wz.mp4
西海情歌-刀郎成都演唱会,https://vd3.bdstatic.com/mda-qivxi0m3ngjhspsv/576p/h264/1727734623315784306/mda-qivxi0m3ngjhspsv.mp4
我真怕自己哪天倒下-任夏,https://vd4.bdstatic.com/mda-qj07zd8bcn2xfcie/576p/h264/1727761247357262473/mda-qj07zd8bcn2xfcie.mp4
偏偏碎银最难求,https://vd3.bdstatic.com/mda-qf3xua0grdau3upv/576p/h264/1717540212171401403/mda-qf3xua0grdau3upv.mp4
一生沧桑一身伤-常超凡,https://vd3.bdstatic.com/mda-pk60hy65njtkarxt/576p/h264/1699316714708177737/mda-pk60hy65njtkarxt.mp4
我来人间一趟-魏佳艺,https://vd3.bdstatic.com/mda-pdugj2dstatefcph/hd/cae_h264/1682783119866841095/mda-pdugj2dstatefcph.mp4
人生的道场-魏佳艺,https://vd4.bdstatic.com/mda-pku9pbjbpiuux1ea/cae_h264/1701380039031991650/mda-pku9pbjbpiuux1ea.mp4
人生半途-魏佳艺,https://vd2.bdstatic.com/mda-qf64ws1pmctr8fgw/hd/cae_h264/1717801409172534238/mda-qf64ws1pmctr8fgw.mp4
忘川的河-魏佳艺,https://vd2.bdstatic.com/mda-njbk2fe7hartax5v/360p/h264/1665583836204380605/mda-njbk2fe7hartax5v.mp4
轮回路上等千年-魏佳艺,https://vd3.bdstatic.com/mda-qb6z7wau0v787r05/hd/cae_h264/1707459947894426906/mda-qb6z7wau0v787r05.mp4
九十九步退一步-魏佳艺,https://vd2.bdstatic.com/mda-nbk88c8b5d4vsf2m/sc/cae_h264_delogo/1645443281073338534/mda-nbk88c8b5d4vsf2m.mp4
来人间走个过场-魏佳艺,https://vd3.bdstatic.com/mda-qb12i8swfsiy6deq/cae_h264/1706839743149020747/mda-qb12i8swfsiy6deq.mp4
叹这一生-苏谭谭,https://vd3.bdstatic.com/mda-qcr1wc77cagese3f/cae_h264/1711642946699709683/mda-qcr1wc77cagese3f.mp4
一路向北-苏谭谭,https://vd2.bdstatic.com/mda-nhipmnjcb2auuvg9/cae_h264/1660963867594020278/mda-nhipmnjcb2auuvg9.mp4
这扯淡的人生-苏谭谭,https://vd3.bdstatic.com/mda-nekh1sg347nwk057/cae_h264/1653135450344358536/mda-nekh1sg347nwk057.mp4
一半疯了一半算了-苏谭谭,https://vd3.bdstatic.com/mda-nge1gusc1mjnytcg/cae_h264/1657847646782811270/mda-nge1gusc1mjnytcg.mp4
左手指月-萨顶顶,https://vd3.bdstatic.com/mda-mkkghijfnzqiwvmb/cae_h264/1637495409291973260/mda-mkkghijfnzqiwvmb.mp4
战马-司徒兰芳,https://vd3.bdstatic.com/mda-qf71ny6k7wtzrr4u/360p/h264/1717809089434532652/mda-qf71ny6k7wtzrr4u.mp4
诺言-李翊君,https://vd2.bdstatic.com/mda-ph7ecyt1n0h5gjmt/576p/h264/1691489386378907368/mda-ph7ecyt1n0h5gjmt.mp4
一生回味一面-香子,https://vd2.bdstatic.com/mda-kejcbjpn7909egvh/v1-cae/hd/mda-kejcbjpn7909egvh.mp4
负我不负她-赵洋,https://vd4.bdstatic.com/mda-qfdjbh6av9ivwbr3/576p/h264/1718372489985322107/mda-qfdjbh6av9ivwbr3.mp4
化风行万里-云朵,https://vd2.bdstatic.com/mda-qfqcf06eku4brnfb/576p/h264/1719305444001171697/mda-qfqcf06eku4brnfb.mp4
人间烟火-程响,https://vd4.bdstatic.com/mda-qfifgqjc2h1babr9/576p/h264/1718794650799582785/mda-qfifgqjc2h1babr9.mp4
可能-程响,https://vd3.bdstatic.com/mda-pkcygp37z3g95ty4/hd/cae_h264/1699960089165068120/mda-pkcygp37z3g95ty4.mp4
大叔-丁多,https://vd2.bdstatic.com/mda-qefkx32he6u6nkcq/cae_h264/1715870858934978747/mda-qefkx32he6u6nkcq.mp4
